Time	AI	AV	RESISTANCE	ILRS	IHRS	RATIO_POSITIVE	IPOS	VRESET	IRESET	NORM_COND
198.8988E-3	-626.1089E-9	000.0000E+0	000.0000E+0	107.9957E-6	643.2122E-8	167.9006E-1	700.0000E-1	690.0000E-3	439.3461E-6	#REF
228.5468E-3	257.9628E-8	100.0000E-4	387.6528E+1							332.7720E-2
430.4880E-3	103.5721E-7	200.0000E-4	193.1022E+1							668.0400E-2
459.4021E-3	146.9585E-7	300.0000E-4	204.1392E+1							631.9216E-2
488.4230E-3	198.6528E-7	400.0000E-4	201.3563E+1							640.6553E-2
517.4553E-3	251.1951E-7	500.0000E-4	199.0485E+1							648.0833E-2
546.4533E-3	304.6616E-7	600.0000E-4	196.9398E+1							655.0225E-2
575.4589E-3	358.6024E-7	700.0000E-4	195.2023E+1							660.8529E-2
604.4722E-3	412.1718E-7	800.0000E-4	194.0938E+1							664.6270E-2
633.4940E-3	465.8555E-7	900.0000E-4	193.1930E+1							667.7262E-2
815.6819E-3	524.0840E-7	100.0000E-3	190.8091E+1							676.0684E-2
844.6275E-3	578.0318E-7	110.0000E-3	190.3009E+1							677.8737E-2
873.6503E-3	632.3305E-7	120.0000E-3	189.7742E+1							679.7553E-2
902.6778E-3	687.0414E-7	130.0000E-3	189.2171E+1							681.7565E-2
931.6929E-3	742.1242E-7	140.0000E-3	188.6477E+1							683.8145E-2
960.7043E-3	797.6733E-7	150.0000E-3	188.0469E+1							685.9990E-2
989.7404E-3	853.6034E-7	160.0000E-3	187.4407E+1							688.2178E-2
101.8746E-2	909.2568E-7	170.0000E-3	186.9659E+1							689.9654E-2
104.7771E-2	965.9379E-7	180.0000E-3	186.3474E+1							692.2555E-2
107.6776E-2	102.2622E-6	190.0000E-3	185.7969E+1							694.3065E-2
110.5776E-2	107.9957E-6	200.0000E-3	185.1926E+1							696.5723E-2
113.4795E-2	113.7719E-6	210.0000E-3	184.5799E+1							698.8845E-2
116.3812E-2	119.5922E-6	220.0000E-3	183.9585E+1							701.2450E-2
119.2835E-2	125.4748E-6	230.0000E-3	183.3037E+1							703.7500E-2
122.1863E-2	131.3427E-6	240.0000E-3	182.7281E+1							705.9671E-2
125.0860E-2	137.3240E-6	250.0000E-3	182.0512E+1							708.5919E-2
127.9885E-2	143.2945E-6	260.0000E-3	181.4445E+1							710.9613E-2
130.8905E-2	149.4933E-6	270.0000E-3	180.6101E+1							714.2459E-2
133.7915E-2	155.5889E-6	280.0000E-3	179.9614E+1							716.8202E-2
136.6937E-2	161.6266E-6	290.0000E-3	179.4259E+1							718.9599E-2
139.5964E-2	167.7111E-6	300.0000E-3	178.8790E+1							721.1578E-2
142.4974E-2	173.9309E-6	310.0000E-3	178.2317E+1							723.7771E-2
145.3991E-2	180.5727E-6	320.0000E-3	177.2139E+1							727.9339E-2
148.3001E-2	186.9443E-6	330.0000E-3	176.5232E+1							730.7821E-2
151.2037E-2	193.4887E-6	340.0000E-3	175.7209E+1							734.1189E-2
154.1038E-2	199.7433E-6	350.0000E-3	175.2249E+1							736.1968E-2
157.0035E-2	206.4538E-6	360.0000E-3	174.3732E+1							739.7927E-2
159.9034E-2	212.9100E-6	370.0000E-3	173.7823E+1							742.3079E-2
162.8066E-2	219.3292E-6	380.0000E-3	173.2556E+1							744.5649E-2
165.7075E-2	225.9709E-6	390.0000E-3	172.5886E+1							747.4421E-2
